"ppt","type","trialNo","subjectGroup","condition1","title","content","trialText","head","stimFormat","pageBreak","stim1","stim2","key","ITI","ISI","presTime","random","randomBlock","feedbackIncorrect","feedbackCorrect","button1","button2","keyboard","responseType","responseOptions","orderPres","orderFile","timestamp","response","RT","correct","responseCode"
"AAIRLZFZJQOC","test",1,0,"apprentissage","na","na","Watch carefully these two families","na",".jpg","na","learn02","na","na",500,"na","na","na","na","na","na","NEXT","na","na","na","na",1,1,138431,1,22275,0,NA
"AAIRLZFZJQOC","test",13,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M4","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",2,13,141683,2,2715,1,NA
"AAIRLZFZJQOC","test",6,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B5","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",3,6,146119,1,2018,1,NA
"AAIRLZFZJQOC","test",15,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",4,15,151213,2,2108,1,NA
"AAIRLZFZJQOC","test",10,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M1","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",5,10,155227,2,1887,1,NA
"AAIRLZFZJQOC","test",9,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B8","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",6,9,159136,1,1954,1,NA
"AAIRLZFZJQOC","test",18,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M8","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",7,18,163412,2,1933,1,NA
"AAIRLZFZJQOC","test",3,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B2","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",8,3,167688,1,1906,1,NA
"AAIRLZFZJQOC","test",4,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B3","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",9,4,171405,1,1643,1,NA
"AAIRLZFZJQOC","test",16,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M6","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",10,16,175333,2,1805,1,NA
"AAIRLZFZJQOC","test",2,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B1","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",11,2,179086,1,1777,1,NA
"AAIRLZFZJQOC","test",11,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M2","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",12,11,183008,2,1923,1,NA
"AAIRLZFZJQOC","test",8,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B7","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",13,8,186500,1,1638,1,NA
"AAIRLZFZJQOC","test",12,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M3","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",14,12,190500,2,1860,1,NA
"AAIRLZFZJQOC","test",5,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B4","na","1",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",15,5,195649,1,3166,1,NA
"AAIRLZFZJQOC","test",17,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M7","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",16,17,199173,2,1658,1,NA
"AAIRLZFZJQOC","test",14,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2",500,"na","na","1","na","Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",17,14,202374,2,1562,1,NA
